id,question,latency_s,precision_5,recall_5,mrr,ndcg_5,hit_rate_5,bleu_1,bleu_2,bleu_4,gleu,rouge_1,rouge_2,rouge_l,rouge_lsum,meteor,answer_f1,bertscore_f1,sbert_sim,faithfulness,context_relevancy,answer_relevance
q1,What are the specific indications for post-mastectomy radiation therapy in breast cancer?,106.52,0.6,0.6,1.0,0.7227,1.0,0.3871,0.2827,0.1274,0.1831,0.5789,0.3333,0.4737,0.4737,0.5405,0.5263,0.8557,0.8488,0.6667,0.6899,0.6506
q2,What are the recommended first-line chemotherapy regimens for advanced non-small cell lung cancer?,93.59,0.4,0.4,1.0,0.5531,1.0,0.1714,0.141,0.1163,0.1204,0.3148,0.1887,0.2593,0.2593,0.3065,0.2927,0.635,0.6737,1.0,0.6793,0.8343
q3,"What is the recommended treatment approach for a patient presenting with early-stage, HER2-positive breast cancer?",78.86,0.2,0.2,0.2,0.1312,1.0,0.1504,0.082,0.0269,0.0538,0.3253,0.1463,0.2289,0.2289,0.3458,0.2623,0.7255,0.7594,0.8333,0.6381,0.6334
q4,When is surgery preferred over radiation in prostate cancer?,98.56,0.2,0.2,1.0,0.3392,1.0,0.2128,0.1786,0.1337,0.1416,0.3763,0.2717,0.3226,0.3226,0.4641,0.4496,0.7737,0.9058,1.0,0.7324,0.8122
q5,What are the primary risk factors and clinical causes of prostate cancer?,105.3,0.4,0.4,1.0,0.5531,1.0,0.0843,0.0184,0.0054,0.0222,0.1751,0.0203,0.1077,0.1077,0.178,0.1395,0.6733,0.7393,0.4615,0.6911,0.7022
q6,What is the standard adjuvant endocrine therapy for postmenopausal women with hormone receptor-positive early breast cancer?,124.13,0.4,0.4,1.0,0.5531,1.0,0.1532,0.1116,0.0399,0.0673,0.2959,0.1557,0.2012,0.2012,0.3248,0.3051,0.7433,0.7703,0.8,0.6048,0.5896
q7,What is the standard first-line treatment for metastatic squamous cell carcinoma of the lung with PD-L1 expression < 50%?,165.95,0.4,0.6667,0.5,0.4776,1.0,0.1707,0.1122,0.0335,0.0679,0.3333,0.1807,0.2024,0.2024,0.3148,0.3478,0.7365,0.763,0.6,0.4584,0.6907
q8,What are the indications for adjuvant chemotherapy in early-stage colon cancer?,100.48,0.2,0.2,0.2,0.1312,1.0,0.1264,0.0715,0.0173,0.0435,0.2661,0.1126,0.1888,0.1888,0.2666,0.2222,0.6754,0.665,0.8,0.6716,0.7186
q9,Explain the role of sentinel lymph node biopsy (SLNB) in early-stage breast cancer management.,59.44,0.2,0.2,0.5,0.214,1.0,0.175,0.0939,0.0476,0.0696,0.3294,0.1071,0.2,0.2,0.2608,0.2319,0.7213,0.8347,0.5,0.6225,0.7972
q10,What is the first-line treatment for EGFR-mutant advanced non-small cell lung cancer (NSCLC)?,101.24,0.4,0.4,1.0,0.5531,1.0,0.303,0.1806,0.0702,0.1202,0.4483,0.1579,0.3448,0.3448,0.3974,0.4,0.7169,0.7387,0.6667,0.6407,0.8037
q11,"Describe the management of toxicities associated with immune checkpoint inhibitors, such as immune-mediated colitis.",102.41,0.4,0.6667,0.25,0.3836,1.0,0.0562,0.0301,0.0095,0.0192,0.1579,0.053,0.0987,0.1316,0.2208,0.1637,0.6406,0.7466,0.3529,0.4933,0.7871
q12,What is the role of trastuzumab emtansine (T-DM1) in HER2-positive breast cancer?,103.53,0.6,0.6,1.0,0.6992,1.0,0.15,0.0921,0.0512,0.0662,0.2544,0.1062,0.1842,0.1842,0.2825,0.2817,0.7351,0.775,0.7143,0.8085,0.7715
q13,What is the standard first-line treatment for advanced clear cell renal cell carcinoma (RCC)?,54.4,0.4,0.5,1.0,0.6367,1.0,0.1269,0.0874,0.057,0.066,0.2599,0.1029,0.2034,0.1921,0.3362,0.2689,0.673,0.8522,1.0,0.6436,0.7502
q14,When is active surveillance preferred over active treatment for localized prostate cancer?,73.92,0.4,0.4,1.0,0.5531,1.0,0.2432,0.1291,0.0409,0.0862,0.4,0.1203,0.237,0.237,0.192,0.3333,0.7254,0.8083,1.0,0.7505,0.8085
q15,What is the role of BRCA1/2 mutation status in selecting treatment for advanced ovarian cancer?,95.72,0.4,0.4,1.0,0.4852,1.0,0.1196,0.0723,0.017,0.0425,0.2278,0.1191,0.1688,0.1688,0.3036,0.2532,0.7479,0.8375,0.875,0.6942,0.7566
q16,What is the standard first-line systemic treatment for advanced hepatocellular carcinoma (HCC)?,88.72,0.0,0.0,0.0,0.0,0.0,0.1569,0.0881,0.0354,0.0597,0.2581,0.0915,0.1677,0.1677,0.2303,0.2727,0.6876,0.834,0.75,0.4915,0.6875
q17,What are the recommended indications and duration of adjuvant trastuzumab in early breast cancer?,55.12,0.4,0.4,1.0,0.5531,1.0,0.2208,0.1078,0.0367,0.0762,0.3906,0.1111,0.2812,0.2812,0.1903,0.3093,0.7399,0.8742,1.0,0.7252,0.8376
